Category,Model,Train WAPE (%),Train R2,Validation WAPE (%),Validation R2,Test WAPE (%),Test R2,Test MAE,Test RMSE,Test Bias,X,Y,split_strategy,selected_on_validation
"Mugs, Cups & Glasses",XGBoost,0.134,1.0,45.108,0.052,30.453,-0.084,1464.421,1849.772,-55.099,7,7,purged_chronological,False
"Paper Napkins, Doilies & Bunting",7-Day Rolling Sum Baseline,35.291,-1.375,32.695,-2.023,33.479,-1.682,1181.392,1411.621,-52.922,7,7,purged_chronological,False
"Paper Napkins, Doilies & Bunting",Linear Regression,16.01,0.503,26.074,-0.861,28.695,-1.105,1012.598,1250.404,-724.254,7,7,purged_chronological,False
"Paper Napkins, Doilies & Bunting",Random Forest,4.133,0.961,24.005,-0.38,26.011,-0.789,917.871,1152.839,-809.778,7,7,purged_chronological,True
"Paper Napkins, Doilies & Bunting",XGBoost,0.191,1.0,24.333,-0.408,25.978,-0.768,916.715,1146.041,-804.302,7,7,purged_chronological,False
Party & Event Accessories,7-Day Rolling Sum Baseline,61.538,-0.945,47.594,-2.04,52.164,-1.628,299.961,401.204,-42.196,7,7,purged_chronological,True
Party & Event Accessories,Linear Regression,34.462,0.339,70.951,-4.876,58.908,-1.366,338.746,380.703,222.497,7,7,purged_chronological,False
Party & Event Accessories,Random Forest,8.552,0.945,82.989,-6.876,69.885,-2.499,401.867,462.935,328.434,7,7,purged_chronological,False
Party & Event Accessories,XGBoost,0.552,1.0,59.618,-3.927,64.425,-2.219,370.469,444.047,181.681,7,7,purged_chronological,False
Picture Frames & Photo Accessories,7-Day Rolling Sum Baseline,50.282,-1.43,38.575,-0.696,42.399,-2.249,846.745,1063.088,-247.725,7,7,purged_chronological,False
Picture Frames & Photo Accessories,Linear Regression,25.964,0.304,37.886,-0.718,77.649,-7.033,1550.705,1671.474,-1550.705,7,7,purged_chronological,True
Picture Frames & Photo Accessories,Random Forest,5.679,0.961,43.366,-0.969,61.025,-4.28,1218.717,1355.075,-1218.717,7,7,purged_chronological,False
Picture Frames & Photo Accessories,XGBoost,0.307,1.0,43.683,-0.998,60.772,-4.255,1213.672,1351.928,-1213.672,7,7,purged_chronological,False
"Plates, Bowls, Trays & Serveware",7-Day Rolling Sum Baseline,50.55,-1.262,15.538,-0.127,27.324,-0.082,665.961,964.224,-255.255,7,7,purged_chronological,True
"Plates, Bowls, Trays & Serveware",Linear Regression,26.09,0.425,79.327,-20.699,100.991,-6.494,2461.458,2537.668,2361.02,7,7,purged_chronological,False
"Plates, Bowls, Trays & Serveware",Random Forest,4.343,0.977,86.598,-23.928,95.47,-5.766,2326.891,2411.356,2174.379,7,7,purged_chronological,False
"Plates, Bowls, Trays & Serveware",XGBoost,0.153,1.0,107.727,-37.732,98.917,-6.565,2410.908,2549.699,2322.888,7,7,purged_chronological,False
Sewing & Craft Kits,7-Day Rolling Sum Baseline,38.983,-1.004,50.434,-1.906,57.566,-6.308,684.745,964.17,265.216,7,7,purged_chronological,False
